data_file           LAC                 OLAC                ORIGAMI             
anneal.ac           0.7606171           0.7618671           0.7794145
austra.ac           0.8333333           0.811594            0.8637681
auto.ac             0.3621427           0.4933333           0.5071429
breast.ac           0.9599381           0.9585093           0.9298964
cleve.ac            0.805484            0.7691398           0.8250538
crx.ac              0.8275362           0.8318841           0.8492753
diabetes.ac         0.774761            0.6796824           0.7708306
german.ac           0.69                0.7                 0.7
glass.ac            0.7054115           0.6487015           0.6205629
heart.ac            0.8000002           0.7851854           0.8370372
hepati.ac           0.7737499           0.7933333           0.7995833
horse.ac            0.7092345           0.7120873           0.7503005
hypo.ac             0.9528772           0.9522452           0.9522452
ionosphere.ac       0.758492            0.8890477           0.9061905
iris.ac             0.9533333           0.8933333           0.8933333
labor.ac            0.7833333           0.8033332           0.8933332
led7.ac             0.3840625           0.559375            0.675625
lymph.ac            0.7695238           0.714762            0.81
pima.ac             0.7642688           0.6666954           0.782536
sick.ac             0.9389287           0.9389287           0.9389287
sonar.ac            0.5380951           0.7200001           0.7257145
tic-tac.ac          0.6535526           0.6545943           0.6577193
vehicle.ac          0.6172687           0.6219046           0.5285014
waveform.ac         0.7324              0.7776              0.7538
wine.ac             0.9215686           0.9215683           0.8326796
zoo.ac              0.77                0.51                0.4718182
average             0.751535119230769   0.752642511538462   0.776211915384615
