data_file           similarity          coverage            class_coverage      all                 
anneal.ac           0.7619304           0.8446202           0.7870253           0
austra.ac           0.8275362           0.7608695           0.7855071           0
auto.ac             0.6161906           0.5092856           0.4692856           0
breast.ac           0.9456727           0.8741614           0.9642442           0
cleve.ac            0.8290323           0.7232257           0.7588172           0
crx.ac              0.8318838           0.7724636           0.811594            0
diabetes.ac         0.7084247           0.7330658           0.6966509           0
german.ac           0.7                 0.712               0.702               0
glass.ac            0.5971864           0.5839828           0.5748921           0
heart.ac            0.8370372           0.7111114           0.7370373           0
hepati.ac           0.7933334           0.7491667           0.8054167           0
horse.ac            0.7360362           0.6789792           0.7058561           0
hypo.ac             0.9522621           0.9702789           0.9712275           0
ionosphere.ac       0.8973016           0.8261905           0.8688096           0
iris.ac             0.9066666           0.8866667           0.8133334           0
labor.ac            0.8333333           0.6566666           0.8000001           0
led7.ac             0.6615625           0.5840625           0.6                 0
lymph.ac            0.7685714           0.6704762           0.7161905           0
pima.ac             0.7084247           0.7330658           0.6966509           0
sick.ac             0.9389287           0.9449999           0.9378572           0
sonar.ac            0.7992859           0.7121431           0.7504764           0
tic-tac.ac          0.6658991           0.6701096           0.6669737           0
vehicle.ac          0.6158964           0.5307983           0.5296079           0
waveform.ac         0.7918              0.6436              0.699               0
wine.ac             0.9156861           0.6398693           0.8653593           0
zoo.ac              0.7345455           0.6436364           0.5272727           0
average             0.783631838461538   0.721749834615385   0.740041757692308   0
