data_file           similarity          coverage            class_coverage      all                 
anneal.ac           75.32087            8.187088            11.8091             8.234161
austra.ac           14.42897            5.584059            6.823189            4.072464
auto.ac             52.86905            8.490473            17.77928            10.010237
breast.ac           10.613553           6.72025             7.687827            4.233623
cleve.ac            13.62558            5.494084            7.907313            4.075915
crx.ac              15.37246            5.665217            6.691305            4.075363
diabetes.ac         8.963979            5.817875            7.746135            4.054852
german.ac           19.7                4.918               8.937               4.142
glass.ac            24.77228            12.355861           12.09676            10.745676
heart.ac            13.5037             5.237037            5.888889            4.111109
hepati.ac           18.48333            4.686249            6.5275              3.890834
horse.ac            25.31187            5.20916             10.58191            5.881005
hypo.ac             22.9083             6.379351            10.380567           4.058845
ionosphere.ac       29.58713            4.567301            8.829444            4.329761
iris.ac             6.22                6.819999            7.1                 6.080001
labor.ac            14.75333            3.726667            7.616667            3.68
led7.ac             41.19689            29.04532            25.70315            23.69594
lymph.ac            24.20761            5.482857            9.254765            6.970952
pima.ac             9.135134            5.924401            7.318557            4.057211
sick.ac             27.22394            5.824286            9.059997            3.924644
sonar.ac            55.86311            4.596667            7.490954            3.957618
tic-tac.ac          10.184024           4.970657            8.026405            4.104299
vehicle.ac          32.22422            9.318675            12.88385            7.61472
waveform.ac         29.3894             6.8632              16.5438             5.906
wine.ac             15.8062             5.635948            7.970588            5.162091
zoo.ac              36.69909            8.170909            12.73273            10.09182
average             24.9370776923077    7.14198426923077    10.0533723846154    6.19850542307692
