data_file           LAC                 OLAC                ORIGAMI             
anneal.ac           740.6978            17.81679            8.469652
austra.ac           104.8943            7.226088            30.09275
auto.ac             303.7091            11.68643            13.559763
breast.ac           54.98854            5.492318            4.505197
cleve.ac            90.90086            6.819462            14.86152
crx.ac              119.7885            7.705798            27.12174
diabetes.ac         36                  4.481989            4.358716
german.ac           209.915             9.856               14.553
glass.ac            44.95823            5.008657            2.875109
heart.ac            91                  6.75185             7.314815
hepati.ac           188.999             9.360833            24.85167
horse.ac            252.4177            10.60878            53.73986
hypo.ac             324.9048            12.11311            5.129326
ionosphere.ac       591.5613            15.94579            27.96871
iris.ac             9.986667            2.733334            1.386666
labor.ac            138.7335            8.216666            15.43332
led7.ac             28                  4.130623            5.356251
lymph.ac            170.2501            8.790476            27.96096
pima.ac             36                  4.567568            4.489339
sick.ac             434.898             13.82606            8.710356
sonar.ac            1829.976            28.00786            1.134049
tic-tac.ac          45                  5.092005            14.14624
vehicle.ac          170.8889            8.956359            24.88604
waveform.ac         230.815             10.2602             18.3754
wine.ac             90.85815            6.74085             11.106866
zoo.ac              134.59              8.36                7.387273
average             249.028132576923    9.25214984615384    14.6970938076923
