data_file           LAC                 non-orthogonal      orthogonal          ORIGAMI             
anneal.ac           1.8393829           704.7512            71.27792            3.610569
austra.ac           1.9782609           77.47826            11.96375            8.127535
auto.ac             3.632381            81.19047            48.62953            8.624524
breast.ac           5.841387            52.81354            7.659584            2.752236
cleve.ac            4.411828            70.50183            13.89506            2
crx.ac              2.1362319           86.19274            12.02899            8.286955
diabetes.ac         1.2628501           24.66666            8                   2.007792
german.ac           2.281               183.693             18.007              2
glass.ac            1.5352814           12.82056            13.88118            4.877705
heart.ac            4.3296296           67.6963             14                  2
hepati.ac           3.2641666           174.9381            15.70709            4.970834
horse.ac            2.1121621           140.0583            20.81164            10.29664
hypo.ac             7.4481851           321.7393            22.45911            2.220003
ionosphere.ac       5.2181747           551.4151            27.48588            2.563492
iris.ac             1.5666667           9.306668            4.073333            4.953334
labor.ac            2.0533333           121.7867            12.75333            4.013333
led7.ac             26.655625           1.296876            29.58936            19.16874
lymph.ac            1.6033333           99.99663            19.56429            8.040945
pima.ac             1.2628501           24.66666            8                   2
sick.ac             8.1307144           433.1429            27.65144            2.223572
sonar.ac            4.0714286           820.1984            49.95239            2
tic-tac.ac          3.2544846           32.36138            6                   0.00837719
vehicle.ac          4.0662885           38.08119            28.0931             7.276247
waveform.ac         3.3872              94.8932             25.3436             3
wine.ac             1.5843138           71.2245             15.63072            6.111765
zoo.ac              1.82                62.61273            32.38455            21.81909
average             support [1], confidesupport [0.01], confsupport [0.0001], cosupport [0.5], confi
