data_file           LAC                 OLAC                ORIGAMI             
anneal.ac           0.03473518          0.1505104           0.2537075
austra.ac           0.003171686         0.004669517         0.02808684
auto.ac             0.00638132          0.02806989          0.02577022
breast.ac           0.001802346         0.001990965         0.002201132
cleve.ac            0.001994672         0.002855299         0.007885779
crx.ac              0.00361129          0.005885608         0.02725169
diabetes.ac         0.001307237         0.00138767          0.001780195
german.ac           0.008589626         0.01605918          0.03550588
glass.ac            0.0009518752        0.00118166          0.001034455
heart.ac            0.00199877          0.002714407         0.003999756
hepati.ac           0.003335719         0.008477775         0.0357558
horse.ac            0.00496927          0.01782786          0.10710933
hypo.ac             0.04485045          0.06312772          0.0558062
ionosphere.ac       0.01193918          0.1066365           0.3069714
iris.ac             0.0002468401        0.0002302335        0.00022334
labor.ac            0.002213013         0.004872034         0.007228561
led7.ac             0.003283021         0.003544324         0.005074831
lymph.ac            0.003256321         0.006989671         0.03387627
pima.ac             0.001315994         0.001394594         0.001810506
sick.ac             0.05466741          0.08759586          0.08990235
sonar.ac            0.03486987          0.663178            0.313309
tic-tac.ac          0.001374242         0.001584866         0.002654068
vehicle.ac          0.004756825         0.01045521          0.02613897
waveform.ac         0.02021367          0.03280411          0.03326
wine.ac             0.001773938         0.002568842         0.003279071
zoo.ac              0.002862638         0.004754763         0.003363342
average             0.0100181693576923  0.0473725409807692  0.0544235356846154
