data_file           LAC                 non-orthogonal      orthogonal          ORIGAMI             
anneal.ac           0.8860126           0.9561392           0.9135918           0.7619304
austra.ac           0.8492753           0.8666665           0.8173911           0.8434782
auto.ac             0.6307144           0.7361906           0.6307144           0.4461903
breast.ac           0.9656522           0.9727951           0.9656522           0.9185093
cleve.ac            0.8058065           0.8255915           0.8290324           0.716344
crx.ac              0.8492753           0.8608696           0.8318838           0.837681
diabetes.ac         0.7369961           0.7760597           0.7643543           0.6928061
german.ac           0.7                 0.727               0.726               0.7
glass.ac            0.6863639           0.7058444           0.6911258           0.3549781
heart.ac            0.8185187           0.8370372           0.8370372           0.740741
hepati.ac           0.83875             0.8645833           0.8520834           0.8512501
horse.ac            0.7960212           0.8175677           0.7987239           0.6322073
hypo.ac             0.9525785           0.978504            0.9775517           0.9522621
ionosphere.ac       0.9315079           0.9258731           0.9059525           0.7607144
iris.ac             0.9466665           0.9666666           0.9599999           0.9133334
labor.ac            0.9166666           0.9499999           0.9166666           0.7966666
led7.ac             0.3634375           0.7340625           0.675               0.4128125
lymph.ac            0.7499999           0.7900001           0.7685714           0.7361905
pima.ac             0.7369961           0.7760597           0.7643543           0.6965826
sick.ac             0.9389287           0.9657144           0.9603571           0.9389287
sonar.ac            0.7652383           0.7876192           0.8040478           0.7550002
tic-tac.ac          0.6575877           0.6930593           0.6700987           0.6533992
vehicle.ac          0.6124511           0.6467507           0.6313725           0.4314005
waveform.ac         0.728               0.8036              0.7918              0.3426
wine.ac             1                   0.988562            0.9437905           0.4529412
zoo.ac              0.7645455           0.8636364           0.7645455           0.5172727
average             0.79338425          0.839094334615385   0.815065338461538   0.686777707692308
