data_file           LAC                 OLAC                ORIGAMI             
anneal.ac           740.6978            3.434477            8.441171
austra.ac           8.505797            11.28406            30.23623
auto.ac             24.42334            2.465475            13.641905
breast.ac           54.98854            9.661013            4.505197
cleve.ac            90.90086            13                  15.10592
crx.ac              9.155072            12.00434            6.062319
diabetes.ac         36                  2.696786            4.358716
german.ac           20                  2.477               1
glass.ac            44.95823            9                   2.86407
heart.ac            91                  6.762965            7.314815
hepati.ac           18.97375            2.189583            1.80375
horse.ac            13.1084             13.1084             12.06937
hypo.ac             23.64549            3.775191            1
ionosphere.ac       34                  34                  27.96871
iris.ac             9.986667            4                   0
labor.ac            15.56667            2.103333            15.7
led7.ac             7                   7                   5.538437
lymph.ac            170.2501            8.790476            27.96096
pima.ac             36                  4.796513            4.489339
sick.ac             434.898             3.263572            13.67679
sonar.ac            1829.976            3.815477            1
tic-tac.ac          45                  7.887247            14.14624
vehicle.ac          170.8889            8.956359            6.393096
waveform.ac         19.7358             10.2602             18.3754
wine.ac             90.85815            13                  10.885291
zoo.ac              134.59              8.36                2.027273
average             160.581060230769    8.00355642307692    9.86788457692307
