data_file           LAC                 OLAC                ORIGAMI             
anneal.ac           0.03219933          0.237287            0.2507162
austra.ac           0.002398935         0.003971076         0.02832139
auto.ac             0.0009477122        0.01418714          0.02514202
breast.ac           0.001942738         0.0006874671        0.002201132
cleve.ac            0.002316441         0.0007291832        0.008202795
crx.ac              0.002751976         0.04893125          0.01389758
diabetes.ac         0.001307237         0.00741906          0.001780195
german.ac           0.001227034         0.05286454          0.02090468
glass.ac            0.0009518752        0.001105778         0.0010255128
heart.ac            0.002526443         0.002693185         0.003999756
hepati.ac           0.000608499         0.0008977001        0.007094146
horse.ac            0.002132645         0.005791466         0.04422904
hypo.ac             0.04219754          0.4783668           0.1365754
ionosphere.ac       0.01437935          0.007898083         0.3069714
iris.ac             0.0002396466        0.0001662134        6.419332e-05
labor.ac            0.0006461333        0.0005966367        0.00769866
led7.ac             0.005536366         0.003596249         0.005160637
lymph.ac            0.003256321         0.006819581         0.03387627
pima.ac             0.001315994         0.03398525          0.001810506
sick.ac             0.05474253          0.4595302           0.7487463
sonar.ac            0.03138465          0.06320904          0.3101003
tic-tac.ac          0.001147813         0.03890025          0.002654068
vehicle.ac          0.004756825         0.01045521          0.01572532
waveform.ac         0.02518793          0.03280411          0.03326
wine.ac             0.002014328         0.0007297558        0.003307125
zoo.ac              0.002862638         0.004462504         0.002872284
average             0.00926842039615385 0.0583878741653846  0.07755141962
