data_file           similarity          coverage            class_coverage      all                 
anneal.ac           0.7618671           0.8321361           0.7744145           0.7818987
austra.ac           0.811594            0.7260869           0.6666665           0.7347826
auto.ac             0.4933333           0.3659523           0.3633333           0.3509523
breast.ac           0.9585093           0.9026915           0.9442237           0.91412
cleve.ac            0.7691398           0.7394624           0.7393548           0.6868816
crx.ac              0.8318841           0.7260869           0.6608697           0.7231884
diabetes.ac         0.6796824           0.742208            0.7069893           0.7396448
german.ac           0.7                 0.709               0.703               0.706
glass.ac            0.6487015           0.611472            0.4952381           0.5841993
heart.ac            0.7851854           0.6740744           0.7370373           0.6962966
hepati.ac           0.7933333           0.8129167           0.8                 0.79375
horse.ac            0.7120873           0.6630633           0.6523276           0.6657659
hypo.ac             0.9522452           0.9645789           0.9595166           0.9557232
ionosphere.ac       0.8890477           0.7811904           0.832143            0.8123014
iris.ac             0.8933333           0.8199999           0.8533333           0.8533333
labor.ac            0.8033332           0.7066668           0.8033334           0.74
led7.ac             0.559375            0.51875             0.4928125           0.494375
lymph.ac            0.714762            0.6804762           0.6633334           0.6285715
pima.ac             0.6666954           0.742208            0.6926694           0.7578266
sick.ac             0.9389287           0.944643            0.939643            0.9375001
sonar.ac            0.7200001           0.6633336           0.7500001           0.7009525
tic-tac.ac          0.6545943           0.6608553           0.6701866           0.6692544
vehicle.ac          0.6219046           0.549888            0.5022828           0.4966807
waveform.ac         0.7776              0.6284              0.597               0.6084
wine.ac             0.9215683           0.7084967           0.7366014           0.6467321
zoo.ac              0.51                0.54                0.4318182           0.53
average             0.752642511538462   0.708255280769231   0.698774173076923   0.700351192307692
