data_file           similarity          coverage            class_coverage      all                 
anneal.ac           17.81679            3.376281            3.958165            2.466092
austra.ac           7.226088            2.826088            3.426086            2.042031
auto.ac             11.68643            2.907858            4.930238            2.563572
breast.ac           5.492318            3.644224            4.06443             2.21619
cleve.ac            6.819462            2.774946            3.95699             2.042904
crx.ac              7.705798            2.863768            3.350725            2.049277
diabetes.ac         4.481989            2.908935            3.873071            2.028725
german.ac           9.856               2.477               4.471               2.078
glass.ac            5.008657            3.104547            2.604113            2.340477
heart.ac            6.75185             2.618519            2.944444            2.055557
hepati.ac           9.360833            2.627083            3.3025              2.084583
horse.ac            10.60878            2.421322            4.282508            2.44865
hypo.ac             12.11311            3.625042            5.45571             2.106575
ionosphere.ac       15.94579            2.604047            4.640316            2.372936
iris.ac             2.733334            3.413334            3.446667            2.76
labor.ac            8.216666            2.683333            4.36                2.163334
led7.ac             4.130623            2.938438            2.597811            2.395937
lymph.ac            8.790476            2.376191            3.228094            2.364763
pima.ac             4.567568            2.962201            3.65928             2.028606
sick.ac             13.82606            3.225357            4.908214            2.070359
sonar.ac            28.00786            2.422858            3.815477            2.043334
tic-tac.ac          5.092005            2.48533             4.0132              2.052149
vehicle.ac          8.956359            2.780084            3.542465            2.109875
waveform.ac         10.2602             2.3838              5.7344              2.0382
wine.ac             6.74085             2.787908            3.334312            2.190197
zoo.ac              8.36                2.639091            2.738182            2.305455
average             9.25214984615385    2.84144557692308    3.87070761538461    2.20837607692308
