data_file           similarity          coverage            class_coverage      all                 
anneal.ac           71.27792            7.834462            15.44264            0
austra.ac           11.96375            4.895651            8.798549            0
auto.ac             48.62953            8.786189            14.03476            0
breast.ac           7.659584            6.130456            7.225095            0
cleve.ac            13.89506            4.95398             7.273548            0
crx.ac              12.02899            5.042028            8.173914            0
diabetes.ac         8                   5.687254            8.136979            0
german.ac           18.007              4.956               10.648              0
glass.ac            13.88118            12.02055            13.10064            0
heart.ac            14                  5.081482            6.42963             0
hepati.ac           15.70709            4.390833            7.812083            0
horse.ac            20.81164            6.166141            10.61337            0
hypo.ac             22.45911            5.284187            11.28145            0
ionosphere.ac       27.48588            6.73643             8.784921            0
iris.ac             4.073333            6.166666            6.900001            0
labor.ac            12.75333            4.38                7.506667            0
led7.ac             29.58936            29.0475             26.38533            0
lymph.ac            19.56429            5.075714            8.71381             0
pima.ac             8                   5.687254            8.136979            0
sick.ac             27.65144            5.235357            9.289285            0
sonar.ac            49.95239            4.739525            6.998094            0
tic-tac.ac          6                   4.565503            7.171118            0
vehicle.ac          28.0931             8.81213             12.90171            0
waveform.ac         25.3436             6.5956              17.0874             0
wine.ac             15.63072            5.845098            7.39281             0
zoo.ac              32.38455            9.073636            12.11               0
average             21.7247248846154    7.04575484615385    10.3211070384615    0
