data_file           similarity          coverage            class_coverage      all                 
anneal.ac           0.1426557           0.254518            0.08043931          0
austra.ac           0.00421434          0.01748072          0.00660037          0
auto.ac             0.03086206          0.03255293          0.011263501         0
breast.ac           0.001754875         0.010652711         0.003008239         0
cleve.ac            0.002955496         0.007396275         0.003038756         0
crx.ac              0.004992132         0.02105461          0.007588245         0
diabetes.ac         0.001338106         0.007546857         0.002348573         0
german.ac           0.01519382          0.0552252           0.02103807          0
glass.ac            0.0008874574        0.003053245         0.001459075         0
heart.ac            0.002817096         0.007163307         0.00278262          0
hepati.ac           0.007286003         0.008700736         0.004752472         0
horse.ac            0.01511806          0.02434707          0.01045212          0
hypo.ac             0.06198447          0.3182337           0.1091932           0
ionosphere.ac       0.101819            0.08057712          0.02392349          0
iris.ac             0.0002045932        0.0004641           0.0003059734        0
labor.ac            0.00436864          0.00317226          0.002553414         0
led7.ac             0.00335418          0.02189543          0.006669734         0
lymph.ac            0.006425307         0.007255247         0.004220523         0
pima.ac             0.00134193          0.007541844         0.002355095         0
sick.ac             0.08864852          0.393331            0.1306731           0
sonar.ac            0.549098            0.1289869           0.06167438          0
tic-tac.ac          0.001359787         0.007178181         0.002730167         0
vehicle.ac          0.009575206         0.0323843           0.01213975          0
waveform.ac         0.03207081          0.1770315           0.07955288          0
wine.ac             0.002754291         0.004854986         0.002148041         0
zoo.ac              0.00490407          0.00471963          0.002986929         0
average             0.0422301519076923  0.0629737638076923  0.0229191549        0
