data_file           LAC                 OLAC                ORIGAMI             
anneal.ac           709.001             75.32087            22.84441
austra.ac           78.84204            14.42897            60.1116
auto.ac             106.80881           52.86905            51.51286
breast.ac           53.19027            10.613553           7.512651
cleve.ac            70.26269            13.62558            29.08324
crx.ac              87.80144            15.37246            54.17826
diabetes.ac         24.77335            8.963979            8.710936
german.ac           185.928             19.7                29.102
glass.ac            12.90282            24.77228            8.541556
heart.ac            67.9037             13.5037             14.26665
hepati.ac           175.6686            18.48333            45.23
horse.ac            144.9734            25.31187            117.218
hypo.ac             322.8986            22.9083             8.254868
ionosphere.ac       568.206             29.58713            49.60231
iris.ac             9.306668            6.22                2.006665
labor.ac            123.4267            14.75333            23.66667
led7.ac             1.333438            41.19689            45.99906
lymph.ac            101.77476           24.20761            56.69143
pima.ac             24.78075            9.135134            8.973481
sick.ac             434.8096            27.22394            15.90428
sonar.ac            802.7714            55.86311            2.104999
tic-tac.ac          31.92479            10.184024           28.2789
vehicle.ac          39.23327            32.22422            89.56066
waveform.ac         98.0528             29.3894             50.653
wine.ac             71.15654            15.8062             18.60719
zoo.ac              61.42818            36.69909            19.563636
average             169.583062153846    24.9370776923077    33.6197356923077
