data_file           LAC                 OLAC                ORIGAMI             
anneal.ac           0.933576            0.8985284           0.7857278
austra.ac           0.8565216           0.8550723           0.8724636
auto.ac             0.4580952           0.4957144           0.5171429
breast.ac           0.9742442           0.9599587           0.9298964
cleve.ac            0.821613            0.808172            0.841828
crx.ac              0.8550724           0.8550724           0.8608694
diabetes.ac         0.774761            0.7474882           0.7708306
german.ac           0.72                0.709               0.707
glass.ac            0.7054115           0.6768399           0.6441559
heart.ac            0.8185187           0.8222224           0.8370372
hepati.ac           0.8445832           0.8454167           0.8195833
horse.ac            0.8100603           0.8100603           0.7882134
hypo.ac             0.9766014           0.9661582           0.9522452
ionosphere.ac       0.9061905           0.9061905           0.9061905
iris.ac             0.9599999           0.9533333           0.94
labor.ac            0.9133332           0.9099999           0.93
led7.ac             0.6334375           0.6334375           0.680625
lymph.ac            0.7695238           0.7842856           0.81
pima.ac             0.7642688           0.7617568           0.782536
sick.ac             0.9650001           0.9571429           0.9392858
sonar.ac            0.7697621           0.7880954           0.7740478
tic-tac.ac          0.6701535           0.8015898           0.6577193
vehicle.ac          0.6172687           0.6219046           0.529678
waveform.ac         0.7654              0.7776              0.7538
wine.ac             0.9666666           0.9552286           0.8653593
zoo.ac              0.77                0.73                0.5518182
average             0.808463969230769   0.808856492307692   0.7864636
