data_file           LAC                 non-orthogonal      orthogonal          ORIGAMI             
anneal.ac           38                  740.7034            37.995              1
austra.ac           14                  85.84927            14                  7.366668
auto.ac             25                  318.3795            11.65095            1.965477
breast.ac           10                  54.53661            5.556606            2.854143
cleve.ac            13                  90.90173            6.967312            2.369033
crx.ac              15                  97.76231            6.044929            6.936232
diabetes.ac         8                   35.9922             2.78144             1
german.ac           20                  207.832             20                  1
glass.ac            9                   44.90302            9                   1
heart.ac            13                  89.97038            7                   1.51111
hepati.ac           19                  18.97375            2.044584            5.640834
horse.ac            22.0055556          16.99369            22                  6.64925
hypo.ac             25                  324.9733            3.052875            3.664786
ionosphere.ac       34                  592.2086            5.555794            2.262302
iris.ac             4                   9.479999            4                   2.033335
labor.ac            16.3066666          138.5634            16.27333            3.413334
led7.ac             7                   27.32874            7                   4.642814
lymph.ac            18                  148.7986            8.000477            4.436667
pima.ac             8                   35.9922             2.78144             1
sick.ac             29                  433.1843            2.002857            3.316071
sonar.ac            60                  1829.985            25.015              1
tic-tac.ac          9                   45                  2.338213            0.0041886
vehicle.ac          18                  170.8841            8.526583            1.821443
waveform.ac         21                  230.998             9.0012              1
wine.ac             13                  90.55589            13                  2.143464
zoo.ac              16                  135.4982            15.99               1
average             18.6273931615385    231.394161115385    10.2914842307692    2.73196736923077
