data_file           LAC                 OLAC                ORIGAMI             
anneal.ac           70.95782            3.762548            22.86569
austra.ac           8.653623            3.014492            60.3884
auto.ac             49.305              11.095719           52.05
breast.ac           68.73099            19.32202            7.512651
cleve.ac            112.1658            25.98678            29.59924
crx.ac              9.155072            3.002898            12.1058
diabetes.ac         24.77335            5.392277            8.710936
german.ac           1.654               4.918               1.999
glass.ac            12.90282            47.04307            8.575325
heart.ac            182                 13.52592            14.26665
hepati.ac           3.469166            2.742083            1.80375
horse.ac            1.286861            1.286861            23.81502
hypo.ac             2.578539            4.043608            2
ionosphere.ac       40.33935            40.33935            49.60231
iris.ac             8.593333            4.773333            0
labor.ac            1.673332            3.953333            24.22999
led7.ac             70                  70                  47.75095
lymph.ac            101.77476           4.442857            56.69143
pima.ac             24.78075            6.10822             8.973481
sick.ac             437.2133            3.476429            13.61895
sonar.ac            29.33381            3.820239            1.788332
tic-tac.ac          4.398279            5.072862            28.2789
vehicle.ac          39.23327            32.22422            23.37284
waveform.ac         59.2074             29.3894             50.653
wine.ac             98.58788            33.24283            18.0036
zoo.ac              61.42818            3.376364            5.288182
average             58.6229494230769    14.8213735769231    22.0747856538462
