data_file           LAC                 non-orthogonal      orthogonal          ORIGAMI             
anneal.ac           0.0069943           0.03383702          0.0729854           0.117816
austra.ac           0.0025348           0.002425139         0.001102969         0.005894919
auto.ac             0.0090576           0.006567764         0.03082668          0.008603754
breast.ac           0.001388            0.001876867         0.00200357          0.011213008
cleve.ac            0.0013895           0.002945986         0.002955809         0.002627493
crx.ac              0.002669            0.00275518          0.004990071         0.006440856
diabetes.ac         0.0016313           0.001318763         0.007690587         0.001955298
german.ac           0.0039742           0.00752761          0.003713329         0.01691119
glass.ac            0.006883            0.0009571442        0.0007444363        0.0009782142
heart.ac            0.0019332           0.002213586         0.002837249         0.002483993
hepati.ac           0.0012061           0.0010394953        0.00147322          0.00807906
horse.ac            0.0035678           0.0005429566        0.001945428         0.007870864
hypo.ac             0.0115431           0.04763706          0.007824007         0.4146428
ionosphere.ac       0.003023            0.01525512          0.001805305         0.02068893
iris.ac             0.0004307           0.0002428067        0.0001671266        0.0002115867
labor.ac            0.0009213           0.00272265          0.0006988499        0.00196684
led7.ac             0.0106391           0.005608228         0.002121285         0.006902708
lymph.ac            0.0026917           0.003563248         0.006440657         0.003549805
pima.ac             0.001634            0.001316615         0.007681116         0.001986265
sick.ac             0.0133504           0.05812244          0.01424348          0.2399723
sonar.ac            0.0055516           0.03554899          0.5483508           0.07190442
tic-tac.ac          0.0021109           0.001200874         0.0008809662        0.0003928493
vehicle.ac          0.0043008           0.009950558         0.01013007          0.008373763
waveform.ac         0.0235006           0.02873668          0.03207081          0.08283319
wine.ac             0.0012506           0.002215077         0.0009383219        0.001739594
zoo.ac              0.0027146           0.002553258         0.0007400545        0.002826416
average             0.00488043076923077 0.0107185044538462  0.0295139075923077  0.0403410044692308
